scenario,z_s,chi_Mpc,sigma0,r,d,sigma_res,ell_Mpc,z_slip,slip_loc,N_pat,sqrtN,RMS_path,DESI_res_OK,boost
DESI_ceil,1.0,3401.263,0.00015,0.0,3,0.00015,12.557069918314655,0.5,0.0001932980599647266,270.8643778163672,16.457957887185373,0.0031812913305741034,True,16.457957887185373
DESI_ceil,1.0,3401.263,0.00015,0.0,3,0.00015,12.557069918314655,0.8,0.00011186230322032788,270.8643778163672,16.457957887185373,0.001841025075563717,True,16.457957887185373
Sorkin,1.5,4482.097,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.3,2.3311943739560583e-61,4.482097037740729e+43,1000000.0,2.3311943739560582e-55,True,1000000.0
Sorkin,1.5,4482.097,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.5,1.5175211969130252e-61,4.482097037740729e+43,1000000.0,1.5175211969130253e-55,True,1000000.0
Sorkin,1.5,4482.097,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.8,8.78195137102445e-62,4.482097037740729e+43,1000000.0,8.78195137102445e-56,True,1000000.0
Sorkin,1.5,4482.097,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,1.0,6.402042549476826e-62,4.482097037740729e+43,1000000.0,6.402042549476826e-56,True,1000000.0
NP-A,1.5,4482.097,1e-05,0.0,3,1e-05,2.064559830050636,0.3,1.9796114470670686e-05,2170.9697982600005,46.59366693296419,0.0009223735642132627,True,46.59366693296419
NP-A,1.5,4482.097,1e-05,0.0,3,1e-05,2.064559830050636,0.5,1.2886537330981777e-05,2170.9697982600005,46.59366693296419,0.0006004310283189742,True,46.59366693296419
NP-A,1.5,4482.097,1e-05,0.0,3,1e-05,2.064559830050636,0.8,7.4574868813551934e-06,2170.9697982600005,46.59366693296419,0.00034747165990681373,True,46.59366693296419
NP-A,1.5,4482.097,1e-05,0.0,3,1e-05,2.064559830050636,1.0,5.436507936507937e-06,2170.9697982600005,46.59366693296419,0.00025330684007206727,True,46.59366693296419
NP-B,1.5,4482.097,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.3,0.0001988077940681529,3446.199741549114,58.704341760632275,0.01167088068765425,True,58.704341760632275
NP-B,1.5,4482.097,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.5,0.00012941651068673537,3446.199741549114,58.704341760632275,0.007597311072822632,True,58.704341760632275
